0.000000e+00 -0.000000e+00
1.670001e-01 -3.571978e-02
3.340002e-01 -7.039535e-02
5.010003e-01 -1.039490e-01
6.680005e-01 -1.364005e-01
8.350006e-01 -1.677694e-01
1.002001e+00 -1.980751e-01
1.169001e+00 -2.273370e-01
1.336001e+00 -2.555741e-01
1.503001e+00 -2.828051e-01
1.670001e+00 -3.090485e-01
1.837001e+00 -3.343227e-01
2.004001e+00 -3.586456e-01
2.171001e+00 -3.820349e-01
2.338002e+00 -4.045082e-01
2.505002e+00 -4.260826e-01
2.672002e+00 -4.467753e-01
2.839002e+00 -4.666029e-01
3.006002e+00 -4.855819e-01
3.173002e+00 -5.037286e-01
3.340002e+00 -5.210591e-01
3.507002e+00 -5.375892e-01
3.674002e+00 -5.533344e-01
3.841003e+00 -5.683100e-01
4.008003e+00 -5.825313e-01
4.175003e+00 -5.960130e-01
4.342003e+00 -6.087699e-01
4.509003e+00 -6.208164e-01
4.676003e+00 -6.321667e-01
4.843003e+00 -6.428350e-01
5.010003e+00 -6.528350e-01
5.177003e+00 -6.621803e-01
5.344004e+00 -6.708844e-01
5.511004e+00 -6.789604e-01
5.678004e+00 -6.864215e-01
5.845004e+00 -6.932803e-01
6.012004e+00 -6.995496e-01
6.179004e+00 -7.052418e-01
6.346004e+00 -7.103691e-01
6.513004e+00 -7.149436e-01
6.680005e+00 -7.189771e-01
6.847005e+00 -7.224815e-01
7.014005e+00 -7.254681e-01
7.181005e+00 -7.279483e-01
7.348005e+00 -7.299333e-01
7.515005e+00 -7.314341e-01
7.682005e+00 -7.324616e-01
7.849005e+00 -7.330263e-01
8.016005e+00 -7.331388e-01
8.183006e+00 -7.328094e-01
8.350006e+00 -7.320483e-01
8.517006e+00 -7.308654e-01
8.684006e+00 -7.292707e-01
8.851006e+00 -7.272739e-01
9.018006e+00 -7.248844e-01
9.185006e+00 -7.221117e-01
9.352006e+00 -7.189650e-01
9.519006e+00 -7.154535e-01
9.686007e+00 -7.115860e-01
9.853007e+00 -7.073715e-01
1.002001e+01 -7.028185e-01
1.018701e+01 -6.979356e-01
1.035401e+01 -6.927312e-01
1.052101e+01 -6.872136e-01
1.068801e+01 -6.813908e-01
1.085501e+01 -6.752709e-01
1.102201e+01 -6.688618e-01
1.118901e+01 -6.621711e-01
1.135601e+01 -6.552065e-01
1.152301e+01 -6.479754e-01
1.169001e+01 -6.404853e-01
1.185701e+01 -6.327434e-01
1.202401e+01 -6.247567e-01
1.219101e+01 -6.165323e-01
1.235801e+01 -6.080771e-01
1.252501e+01 -5.993978e-01
1.269201e+01 -5.905011e-01
1.285901e+01 -5.813935e-01
1.302601e+01 -5.720815e-01
1.319301e+01 -5.625714e-01
1.336001e+01 -5.528694e-01
1.352701e+01 -5.429816e-01
1.369401e+01 -5.329140e-01
1.386101e+01 -5.226725e-01
1.402801e+01 -5.122629e-01
1.419501e+01 -5.016909e-01
1.436201e+01 -4.909622e-01
1.452901e+01 -4.800822e-01
1.469601e+01 -4.690563e-01
1.486301e+01 -4.578898e-01
1.503001e+01 -4.465879e-01
1.519701e+01 -4.351559e-01
1.536401e+01 -4.235986e-01
1.553101e+01 -4.119211e-01
1.569801e+01 -4.001283e-01
1.586501e+01 -3.882247e-01
1.603201e+01 -3.762153e-01
1.619901e+01 -3.641045e-01
1.636601e+01 -3.518969e-01
1.653301e+01 -3.395968e-01
1.670001e+01 -3.272088e-01
1.686701e+01 -3.147369e-01
1.703401e+01 -3.021854e-01
1.720101e+01 -2.895585e-01
1.736801e+01 -2.768602e-01
1.753501e+01 -2.640943e-01
1.770201e+01 -2.512649e-01
1.786901e+01 -2.383756e-01
1.803601e+01 -2.254304e-01
1.820301e+01 -2.124327e-01
1.837001e+01 -1.993863e-01
1.853701e+01 -1.862946e-01
1.870401e+01 -1.731611e-01
1.887101e+01 -1.599892e-01
1.903801e+01 -1.467823e-01
1.920501e+01 -1.335435e-01
1.937201e+01 -1.202761e-01
1.953901e+01 -1.069832e-01
1.970601e+01 -9.366791e-02
1.987301e+01 -8.033319e-02
2.004001e+01 -6.698200e-02
2.020701e+01 -5.361723e-02
2.037401e+01 -4.024171e-02
2.054101e+01 -2.685820e-02
2.070801e+01 -1.346942e-02
2.087501e+01 -7.802033e-05
2.104201e+01 1.331340e-02
2.120901e+01 2.670229e-02
2.137601e+01 4.008617e-02
2.154301e+01 5.346260e-02
2.171001e+01 6.682919e-02
2.187701e+01 8.018361e-02
2.204401e+01 9.352358e-02
2.221101e+01 1.068469e-01
2.237802e+01 1.201513e-01
2.254502e+01 1.334347e-01
2.271202e+01 1.466950e-01
2.287902e+01 1.599302e-01
2.304602e+01 1.731383e-01
2.321302e+01 1.863173e-01
2.338002e+01 1.994654e-01
2.354702e+01 2.125806e-01
2.371402e+01 2.256612e-01
2.388102e+01 2.387053e-01
2.404802e+01 2.517114e-01
2.421502e+01 2.646776e-01
2.438202e+01 2.776023e-01
2.454902e+01 2.904840e-01
2.471602e+01 3.033210e-01
2.488302e+01 3.161118e-01
2.505002e+01 3.288550e-01
2.521702e+01 3.415490e-01
2.538402e+01 3.541926e-01
2.555102e+01 3.667842e-01
2.571802e+01 3.793226e-01
2.588502e+01 3.918065e-01
2.605202e+01 4.042345e-01
2.621902e+01 4.166055e-01
2.638602e+01 4.289182e-01
2.655302e+01 4.411715e-01
2.672002e+01 4.533643e-01
2.688702e+01 4.654954e-01
2.705402e+01 4.775637e-01
2.722102e+01 4.895683e-01
2.738802e+01 5.015081e-01
2.755502e+01 5.133821e-01
2.772202e+01 5.251895e-01
